id	Newspaper_Title	Infection_Location	Infect_Lat_Long	Reporting_Location	Report_Lat_Long	Date	Link	Translation	Language	Tags_Keywords	Image_Link
241	Intelligenzblatt und Berner Stadtblatt	Paris		Bern		1890-01-25T00:00:00Z	http://intelligenzblatt.unibe.ch/Default/Skins/BernA/Client.asp?Skin=BernA&AppName=2&AW=1398114936674	Little Chronicle. The Paris local council has used the increased mortality due to the influenza, in order to carry on the cremation of the bodies en masse. A year ago the council had erected the first crematorium-oven on the Peré la Chaise, which needs two hours in order to turn a body to ash. Recently the second oven is been put into operation, and it only needs one hour, and needs even less to operate. Together, as of now 735 bodies have been burned. The influenza caused such a rise in the mortality, that the mortuary community had to hire 160 new horses and corresponding teams. Against all tradition, burials have started early every morning. In the hospitals bodies have become yet more frequent. For this reason so many were burned.	German	mortality, cremation	http://intelligenzblatt.unibe.ch/Default/Scripting/ArticleWin.asp?From=Search&Key=ISB/1890/01/25/4/Ar00409.xml&CollName=ISB_1881_1890&DOCID=116220&PageLabelPrint=4&Skin=BernA&AW=1395258970204&sPublication=ISB&sScopeID=All&sSorting=IssueDateID,asc&sQuery=influenza&rEntityType=&sSearchInAll=false&RefineQueryView=&StartFrom=75&ViewMode=HTML
242	Freiburg Nachrichten			Freiburg		1890-01-25T00:00:00Z		In order to regain all his strength and all his appetite and to restore his vigor lost because of the influenza or other diseases, it is absolutely necessary to take a regular cure with the genuine Gisencognac Golliez, whose reputation is known throughout Europe.  A 16 year success and thousands of brillliant cures ist sufficient to apply the same confidence. Rewared with 7 honorary degrees and 12  medals. The only person qualified at the world exhibition in Paris in 1889 and Barcelona in 1888. In order to obtain for salesafe goods, one is asked to want to see it immediately, whether one can find the mark of "2 Palms" and the name Friedrich Golliez on the bottle. For sale in bottles for 2 francs and 5  francs in apothecaries and drugeries. 	German		http://doc.rero.ch/record/139137/files/1890-01-25.pdf
243	El Dia	Madrid				1890-01-25T00:00:00Z	http://hemerotecadigital.bne.es/issue.vm?id=0002270333&search=&lang=es	The <Influenza> In Rome  Roma 25 - Influenza or trancazo currently reigns in Rome with great intensity. Several cardinals are suffering from the epidemic. The Pope is still enjoying his perfect health.  			
244	El Dia	Madrid				1890-01-26T00:00:00Z	http://hemerotecadigital.bne.es/issue.vm?id=0002270348&search=&lang=es	The edges get softened Lisbon 25 - The office of the Standard concerning the language attributed to the Marquis of Salisbury inspiration has produced excellent impression in all classes. The king, recovered from the flu, is now with a fever. Mr. Barjona has accepted the position of minister of Portugal in London.  King D. Carlos  Lisbon 25 – It seems that King D. Carlos, after having had the flu or trancazo, that he has now contracted the dengue, and, as it is now known, those are two different diseases  			
245	El Dia	Madrid				1890-01-27T00:00:00Z	http://hemerotecadigital.bne.es/issue.vm?id=0002270380&search=&lang=es	The Influenza London 26 - New York telegraph that influenza or trancazo has developed rapidly in the Republic of Mexico, where there right now with a lot of intensity.  Paris 27 - In some parts, as in Saint-Etiennes, several cases of influenza or trancazo still recorded, but in the rest of France the epidemic has disappeared almost completely.The 			
246	Influenza					1890-01-27T00:00:00Z		From the medical side, we get the following very interesting and thought provoking article about the prevailing pandemic. From everywhere, from the highest north and the sunny south, from the old and new world come without interruption reports about the spread of the influenza. According to reliable estimates, it may be assumed, that overall, where the pandemic has prevailed, over 50% and at most 75% of the population were taken by the illness, and indeed all classes without distinction and all age groups except around childhood, where they had a higher or lower degree.  It is remarkable, that as far as our observations and inquiries reach, the plague always occurred first in the large population centers and only gradually moved (however relatively swiftly) into the surrounding, scattered country areas.   Whereas the influenza alone,  meaning without complications, very rarely leads to death, it is on the other hand very often fatal for all those weakened by chronic diseases, and can even be fatal for strong individuals  by adding an acute illness of the breathing organs (for example pneumonia), their formation is favored by the influenza, if nothing is caused directly, an unfortunate outcome can be induced. The mortality has considerably increased to double its previous rate and is rising, because this epidemic previals everywhere. Also in Switzerland, in the last few weeks the mortality has increased about 2 1/3 fold when compared with the same time last year.  The illnesses, which have mainly participated in this increasing mortality,  are above all pneumonia and pleural inflammation and other acute illnesses of the repiratory organs. For example around 4.5 times as many people died in the first week of the new year as did in the first week of last year in the large cities of Switzerland. A significantly increased mortality also shows due to the following chronic diseases: pulmonary consumption (almost threefold),  pulmonary emhysema and chronic lung inflammation, heart disease (almost threefold), infirmity of old age (almost twofold), kidney disease, cancer, and the contrast to the reports from abraod of the decrease in deaths from incfectious diseases is  striking, as a rule of thumb.   As proof, that the influenza may be especially dangerous especially because  it leads to fatal complications, if the afflicted do not protect themselves sufficiently against the evil influences of the weather and generally did not exercise due caution, it may be cited, that adult males from 20 to 60 years old are characterized by a greater mortality than women from the same age group. For the 20 to 40 year old age group for example, in the week before last in the large cities of Switzerland, the total mortality of the male population was 1.5  times that of the female population, but the mortality for acute lung illness was 6  times  higher.   Some comparative figures that different cities give some interesting insights about the forward march of the pandemic in Europe from the east to the west and about the course of the epidemic in different places:		population, morbidity, mortality	http://intelligenzblatt.unibe.ch/Default/Scripting/ArticleWin.asp?From=Search&Key=ISB/1890/01/27/2/Ar00211.xml&CollName=ISB_1881_1890&DOCID=116259&PageLabelPrint=2&Skin=BernA&AW=1395258970204&sPublication=ISB&sScopeID=All&sSorting=IssueDateID,asc&sQuery=influenza&rEntityType=&sSearchInAll=false&RefineQueryView=&StartFrom=75&ViewMode=HTML
247	Intelligenzblatt und Berner Stadtblatt	Mendrisio		Bern		1890-01-28T00:00:00Z	http://intelligenzblatt.unibe.ch/Default/Skins/BernA/Client.asp?Skin=BernA&AppName=2&AW=1398114936674	Little Chronicle. In Mendrisio (Tessin), an Italian (father of a large family), who suffered under the influenza, threw himself in a fevered state from the second floor of his house and died immediately.	German	fever	http://intelligenzblatt.unibe.ch/Default/Scripting/ArticleWin.asp?From=Search&Key=ISB/1890/01/28/4/Ar00406.xml&CollName=ISB_1881_1890&DOCID=116296&PageLabelPrint=4&Skin=BernA&AW=1395258970204&sPublication=ISB&sScopeID=All&sSorting=IssueDateID,asc&sQuery=influenza&rEntityType=&sSearchInAll=false&RefineQueryView=&StartFrom=75&ViewMode=HTML
248	Roanoke Daily Times	Roanoke VA		Roanoke VA		1890-01-28T00:00:00Z	http://chroniclingamerica.loc.gov/lccn/sn88061182/1890-01-28/ed-1/seq-1/	Justice G. A. Turner was confined to his room yesterday with the prevailing malady, ‘la grippe’.			
249	Intelligenzblatt und Berner Stadtblatt	Zurich; Neuenburg		Bern		1890-01-29T00:00:00Z	http://intelligenzblatt.unibe.ch/Default/Skins/BernA/Client.asp?Skin=BernA&AppName=2&AW=1398114936674	Switzerland. Zurich. After the has gone by the youth of Ausserfihl, without one: the school system was constrained, now according to "N.Z.Z." , measles, scarlet fever, and diphtheria, namely, are appearing among the school-aged youth with almost the same vehemence.  Neuenburg. In Neuenburg, the town councilor Courvoisier died from the influenza; he was 47 years old. 	German	school, measles, scarlet fever, diphtheria	http://intelligenzblatt.unibe.ch/Default/Scripting/ArticleWin.asp?From=Search&Key=ISB/1890/01/29/3/Ar00300.xml&CollName=ISB_1881_1890&DOCID=116321&PageLabelPrint=3&Skin=BernA&AW=1395258970204&sPublication=ISB&sScopeID=All&sSorting=IssueDateID,asc&sQuery=influenza&rEntityType=&sSearchInAll=false&RefineQueryView=&StartFrom=80&ViewMode=HTML
250	La Dinastía	Barcelona				1890-01-29T00:00:00Z	http://hemerotecadigital.bne.es/issue.vm?id=0001530019&page=2&search=influenza&lang=en	The microbe of the influenza A Viennese doctor, Dr. Jolles has discovered in the expectorations of the people attacked of influenza, the bacillus of the illness. This bacillus presents a great resemblance with that of pneumonia.          Here are some provided details by Dr. Jolles’ laboratory.         This was in charge of examining the expectorations of the patients, and it was surprised to observe that, during the epidemic, the sputum was containing a great quantity of capsules similar to those of the bacilli of pneumonia, discovered by Dr. Friedlauder.         Guided by the similarity of these micro-organisms that were also found in the urinary sediments of the people attacked by the influenza, what had not been even observed, Dr. Jolles called the attention of the doctors about the possibility of a subsequent appearance of the pneumonia; immediately he established a culture of these isolated microbes from the expectorations and from the urine.         Four days later formed colonies had appeared on a gelatin plate like rounded bodies, well limited, yellowish, and of fine grain, presenting the rounded head like that of the _____, known by “porcelain”.         An expectoration collected in provinces that was equally subjected to examination, gave the same bacilli; only these were less bright and some strongly twisted, than Dr. Friedlauder’s.         The result of these bacilli subjected to the colors of aniline is the same as that of the bacilli subjected by Dr. Friedlauder to the identical manifestations. Using the watery colors of aniline, Dr. Jolles has obtained beautiful samples, but without capsules. In an a practiced examination of the waters of the city the 26th of December, 1889, the same bacilli were discovered, 228 were found in a cubic centimeter, under the microscope they showed under a dual form, rounded from a more clear circle.         They have not even finished the tests that make these animals.   			
251	Intelligenzblatt und Berner Stadtblatt	Bern		Bern		1890-01-30T00:00:00Z	http://intelligenzblatt.unibe.ch/Default/Skins/BernA/Client.asp?Skin=BernA&AppName=2&AW=1398114936674	Public Lecture.  Thursday the 28th of January 1890, at 8 pm in the evening, in the museum hall, from L.A. Woringer about: "The Infleunza, a serious sign of the times". Everyone is cordially invited. Mr. Woringer, who was here after famous in Bielen due to his early papers, has undertaken the lecture at my request. The modification unfortunately could not be listed anymore in the Saturday advertisements.  City of Bern. Pre-Gymnasium. A summary of the ill during the influenza epidemic presented the following numbers: In Class 1a 14 were ill out of 22 students (64%), in Class 1b 29 were ill out of 35 students (83%), in Class 2a 18 were ill out of 27 students (67%), in Class 2b 15 were ill out of 25 (60%), in Class 3a 27 were ill out of 30 students (90%), in Class 3b 21 were ill out of 27 students (78%), in Class 3c 29 were ill out of 35 (83%), in Class 4a 24 were ill out of 25 (96%),  in Class 4b 20 were ill out of 24 students (83%), and in Class 4c 18 were ill out of 24 students (75%). In total 215 were illl out of 274 students (78%).  All these people fell ill from the 20th to the 24th of December (inclusive). Before the 20th of December, only a very few cases occurred. Since the resumption of teaching on the 6th of January, only a few isolated cases have occured. Regarding the ages of the ill it is to be noticed, that those in Class 4 were between 10.5 and 11 years old, those in Class 3 were between 11.5 and 12 years old, those in Class 2 were between 12.5 and 13 years old, and those in Class 1 were between 13.5 and 14 years old. 	German	advertisement, lecture, Woringer, school, morbidity	http://intelligenzblatt.unibe.ch/Default/Scripting/ArticleWin.asp?From=Search&Key=ISB/1890/01/30/4/Ar00414.xml&CollName=ISB_1881_1890&DOCID=116361&PageLabelPrint=4&Skin=BernA&AW=1395258970204&sPublication=ISB&sScopeID=All&sSorting=IssueDateID,asc&sQuery=influenza&rEntityType=&sSearchInAll=false&RefineQueryView=&StartFrom=80&ViewMode=HTML
252	La Lanterne	Paris 				1890-02-01T00:00:00Z	http://gallica.bnf.fr/ark:/12148/bpt6k75053963	WEEKLY PARIS STATISTICS The flu epidemic has ended. The municipal statistics service has counted, during the 4th week of 1890, 1,147 deceased, a number equal to the average, observed in ordinary weather during the month of January.  The numbers from the first days of the 5th week allow affirmation that the reported improvement is persisting.The Parisian mortality was increased as an indirect result of the flu during six consecutive weeks (from the 50th week of 1889 to the 3rd of 1890 included).  The total number of deceased during this period was 11,647, while the ordinary mortality at this time of year had to have been only 6,419 deceased.  One has to admit, then, that the epidemic directly or indirectly caused the death of around 5,060 people.  Among these victims, a large number were individuals exhausted by chronic maladies. Inflammatory sicknesses of respiratory organs caused 242 deaths.  This number, which is still very large, is broken down as follows: acute bronchitis, 51 deaths; chronic bronchitis, 51; broncho-pneumonia, 48; pneumonia, 92.		Paris Deaths	
253	El Monitor Republicano	Mexico City				1890-02-01T00:00:00Z	https://scholar.vt.edu/access/content/group/05ff0d36-d2c7-467b-8609-8c34c8044809/Newspaper%20Sources/Spanish/Latin%20American%20Newspapers%20from%20Readex/ElMonitorRepublicano%201890Feb1p3.pdf 	Besides Becerra (whose sickness has been a part of every newspaper), Sagasia, D. Vanancio, etc., etc., the Vega of Armijo has also been bad as of late. That is to say that even the king has the sickness, everyone. This flu is admirable. Moral… influenza.			
254	El Siglo Diez Y Nuevo	Mexico City				1890-02-01T00:00:00Z	https://scholar.vt.edu/access/content/group/05ff0d36-d2c7-467b-8609-8c34c8044809/Newspaper%20Sources/Spanish/Latin%20American%20Newspapers%20from%20Readex/ElSigloDiezNuevo%201890Feb1p1.pdf	Latest News  Our friends at “The Herald” reported under this heading that the doctors from Vienna, Maximilian and Adolf Jolles, discovered the influenza microbe, which they named the bishop microbe because the head of the germ resembles a miter. This discovery, although amusing for the clerical college, presents no new information. Even before the discovery of the Jolles brothers we knew perfectly well that mitrated microbes were the cause of moral and physical disease, particularly in the faithful. The respected Mr. Terrazas said that until there is an arch epsicpoal microbe no plea, no prayer, nor dose of quinine will be enough for what the bishop microbe excommunicates.                			
255	Roanoke Daily Times	Roanoke VA		Roanoke VA		1890-02-01T00:00:00Z	http://chroniclingamerica.loc.gov/lccn/sn88061182/1890-02-01/ed-1/seq-1/	The remains of Mr. A. O. Dillingham, who died at Hotel Felix Thursday of la grippe, were interred in the city cemetery yesterday at 3:30 o’clock. His wife and son did not come on from Baltimore. A large number of friends followed the body to its last resting place.			
256	Roanoke Daily Times	Roanoke VA		Roanoke VA		1890-02-01T00:00:00Z	http://chroniclingamerica.loc.gov/lccn/sn88061182/1890-02-01/ed-1/seq-1/	Rev. Dr. O. F. Flippo was on the street again yesterday, having just recovered from an attack of la grippe.			
257	El Siglo Diez Y Nuevo	Mexico City				1890-02-13T00:00:00Z	https://scholar.vt.edu/access/content/group/05ff0d36-d2c7-467b-8609-8c34c8044809/Newspaper%20Sources/Spanish/Latin%20American%20Newspapers%20from%20Readex/ElSigloDiezNuevo%201890Feb13p3.pdf	The Influenza--This bothersome disease has entered the capital of San Luis Potosi to the degree that public places are almost silent, according to one newspaper. Fortunately there have not been any fatal cases. 			
258	El Monitor Republicano	Mexico City				1890-02-15T00:00:00Z	https://scholar.vt.edu/access/content/group/05ff0d36-d2c7-467b-8609-8c34c8044809/Newspaper%20Sources/Spanish/Latin%20American%20Newspapers%20from%20Readex/ElMonitorRepublicano%201890Feb15p3.pdf	EPIDEMIC IN TEXAS.—The Daily Home copied from an uncited New York newspaper the news that a notable epidemic is ravaging Cooke County, Texas.                 It said that the symptoms are very similar to those of spinal meningitis and that the affected are dying after several hours.                 It adds that the number of deaths from the disease reached 25 in the past few days and that doctors cannot envision a way to prevent the spread of the disease. This is causing many inhabitants to abandon the country and run away terrified.                 Almost no news of the aforementioned diseases has been recieved from Texas by this capital. It seems very unusual that news of such a disease would not get here in the time it took the news to get to New York and then from New York to here by mail. We doubt the news is exact. However, it is advisable that the Secretary of Governing inquire about what is true in such a serious matter, in order to give preventative measures. 			
259	El Monitor Republicano	Mexico City				1890-02-15T00:00:00Z	https://scholar.vt.edu/access/content/group/05ff0d36-d2c7-467b-8609-8c34c8044809/Newspaper%20Sources/Spanish/Latin%20American%20Newspapers%20from%20Readex/ElMonitorRepublicano%201890Feb15p3.pdf	THE INFLUENZA IN YUCATAN.—With a grave character the influenza epidemic has spread through the Yucatan population. According a newspaper in Mérida it has already caused numerous deaths. 			
260	El Siglo Diez Y Nuevo	Mexico City				1890-02-15T00:00:00Z	https://scholar.vt.edu/access/content/group/05ff0d36-d2c7-467b-8609-8c34c8044809/Newspaper%20Sources/Spanish/Latin%20American%20Newspapers%20from%20Readex/ElSigloDiezNuevo%201890Feb15p3.pdf	The Influenza Microbe--By using the Nechet method, Mr. Gordillo Reinoso was able to view the influenza microbe in the Military Hospital. It looks like boiled rice with one black end, which represents the head. Millions existed in the fluid ejected from the cadavers. 			
261	Morning Bulletin	Rome, Italy; Vienna, Austria; Paris, France; Berlin, Germany; Lisbon, Spain; Madrid, Spain; London, England 		Rockhampton, Queensland, Australia		1890-02-24T00:00:00Z	http://trove.nla.gov.au/ndp/del/article/52330518?searchTerm=influenza&searchLimits=l-textSearchScope=*ignore*%7C*ignore*|||fromdd=15|||frommm=02|||fromyyyy=1890|||todd=15|||tomm=03|||toyyyy=1890|||l-word=*ignore*%7C*ignore*#pstart5063901	INFLUENZA EPIDEMIC. The following news, dated London 3rd January, was telegraphed from Albany to the Sydney Morning Herald, on the arrival of the R.M.S. Shannon: The influenza epidemic is now in London, and the doctors have numerous cases, which are undoubtedly similar to the continental disease, though at present of a milder form. The shop assistants of Whiteley and Co. were the first to take the complaint. Nearly 100 were affected, but 200 cases are reported from the Central Telegraph Office, where the work is seriously interfered with. There have been severe cases in the city printing offices, where three deaths are said to have occurred among the printers. Dr. Bernardo's Home for Boys at the East End has been visited by the epidemic, and there have been numerous cases in other parts of London. Among the victims is Lord Salisbury, who was attacked the day after Christmas, and was confined to his room, being compelled to postpone several political fixtures. His two private secretaries are also down with the complaint, and the Premier is said to believe the infection was conveyed to him in the despatches recently received from the embassies at St. Petersburg and Paris, which were written when the ambassadors in both places were suffering from the complaint. The doctors report other cases of patients who are believed to have caught the infection from letters sent from Russia. Among other celebrities suffering from the infection is Mrs. Bernard Beere, who has been unable to appear at the Garrick Theatre since Monday. In Paris the epidemic is decreasing, though there were many resultant cases of inflammation of the lungs, bronchitis, and much pleurisy. The severity of the disease in Paris is said to be aggravated by the insanitary state of the town after the Exhibition. The hospitals continue to be crowded, but the schools and colleges are empty. Lord and Lady Lyons and their son, Lord Knebworth, are all laid up, and many ministers are still on the sick list. In the French provinces the epidemic is raging severely, though there are few fatal cases, except amongst old people. In Germany the disease is still rampant, and numerous cases are causing annoyance. The Grand Duke and Duchess of Radin have been confined to the Royal Palace at Berlin, where they were visiting. Both were prostrated with influenza, and the King and Queen of Saxony are also suffering. In Saxony the disease is very prevalent, and it is almost impossible to carry on the railway and postal and telegraph services, owing to the illness of the officials. In Vienna the influenza is still raging, and the Archduke Frederick and Count Taale are both suffering severely. At present the disease has hardly penetrated into Italy, but some hundreds of cases of a mild type are reported from Rome. Lisbon and Madrid are both centers of influenza, and a deep gloom has been thrown over the latter city by the death of Gayarre, the favourite Spanish operatic tenor, who succumbed to the epidemic with which he was attacked when recovering from a severe affection of the throat.	English	Epidemic; Mild; Cases; Lord Salisbury; Doctors; cases; Celebrities; bronchitis; pleurisy; epidemic; sanitation; ragion; cases	
262	El Siglo Diez Y Nuevo	Mexico City				1890-02-25T00:00:00Z	https://scholar.vt.edu/access/content/group/05ff0d36-d2c7-467b-8609-8c34c8044809/Newspaper%20Sources/Spanish/Latin%20American%20Newspapers%20from%20Readex/ElSigloDiezNuevo%201890Feb25p2.pdf	Vaticano			
263	El Siglo Diez Y Nuevo	Mexico City				1890-02-25T00:00:00Z	https://scholar.vt.edu/access/content/group/05ff0d36-d2c7-467b-8609-8c34c8044809/Newspaper%20Sources/Spanish/Latin%20American%20Newspapers%20from%20Readex/ElSigloDiezNuevo%201890Feb25p3.pdf	The Influenza--A newspaper from Merida reports that as a result of this disease, which has invaded the Yucatan Peninsula, people are developing intermittent fevers, extreme anxiety, rheumatism, and many other diseases. These symptoms have remained hidden and then appeared suddenly upon those who are ill with influenza. 			
264	The Maitland Mercury & Hunter River General Adverstiser	London, England. St. Petersburg, Russia. Vienna, Austria. Paris, France.		New South Wales, Australia		1890-03-01T00:00:00Z	http://trove.nla.gov.au/ndp/del/article/18981095?searchTerm=influenza&searchLimits=l-textSearchScope=*ignore*%7C*ignore*|||fromdd=15|||frommm=02|||fromyyyy=1890|||todd=15|||tomm=03|||toyyyy=1890|||l-word=*ignore*%7C*ignore*#pstart162653	The Influenza Epidemic. Epidemic influenza, now so prevalent, is, says the British Medical Journal, a specific fever, which must not be confounded with the local affection of the nose and throat to which the term influenza is commonly applied in this country. It is important that this should be generally recognised, for epidemic influenza, though a mild disease if properly treated, may become dangerous to life if neglected. This is particularly true of the present epidemic, for observers in all countries agree that relapses are very apt to occur. This has been noticed by our correspondents in St. Petersburg, Vienna, and Paris, and a well-known practitioner in the West End of London writes to us, with reference to the cases now and recently under his treatment:- "I am convinced that it is a most dangerous disease to trifle with, owing to the relapses, which, so far as I have seen, have occurred on the eighth day. I think the public shou'd be warned to go to bed directly they have the shivering and lumbar pain." Dr. Proust, in Paris, expresses the same opinion. In his official letter to the Minister of the Interior he warns sufferers that exposure to cold, not merely while the disease is at its height, but during convalesconce, may altogether change the character of the disease. Most of the deaths which have occurred would seem to have been due to imprudence. The attack produces a good deal of anemia and nervous depression, and any imprudence committed before complete recovery may bring on a fatal attack of pneumonia or, bronchitis, which might otherwise have been avoided. The poison of influenza having entered into the system, does not always attack the mucous membranes of the nose and chest. In some persons it is the stomach and digestive, organs which are attacked, leading to violent vomiting or colic and diarrhea; most of the cases hitherto observed in London appear to have been of this class. In other cases catarrhal symptoms of any kind are absent or very slight, but the nervous prostration which ordinarily accompanies is present to a severe degree, the poison appearing to have specially selected the central nervous system.   Physician to patient- "Your case is a very serious. one, sir, and I think a consultation had better be held." Patient, too sick to care for anything-   " Very well, doctor, have has many accomplices as you like."   The celebrated Lessing was remarkable for a frequent absence of mind. Having missed money at   different times without being able to discover who took it, he determined to put the honesty of his servant to a trial, and left a handful of gold on the table . "Of course, you counted it ?" said one of his friends. " Counted it?", said Lessing rather   embarrassed; " no I forgot that,"    	English	Dr. Proust, symptoms, treatments	
265	El Siglo Diez Y Nuevo	Mexico City				1890-03-03T00:00:00Z	https://scholar.vt.edu/access/content/group/05ff0d36-d2c7-467b-8609-8c34c8044809/Newspaper%20Sources/Spanish/Latin%20American%20Newspapers%20from%20Readex/ElSigloDiezNuevo%201890March3p3.pdf				
266	The Bacchus Marsh Express	Victoria, Australia		Victoria, Australia		1890-03-20T00:00:00Z	http://trove.nla.gov.au/ndp/del/article/88363787?searchTerm=influenza&searchLimits=l-textSearchScope=*ignore*%7C*ignore*|||fromdd=15|||frommm=02|||fromyyyy=1890|||todd=15|||tomm=03|||toyyyy=1890|||l-word=*ignore*%7C*ignore*#pstart8313069textSearchScope=*ignore*%7C*ignore*|||fromdd=15|||frommm=02|||fromyyyy=1890|||todd=15|||tomm=03|||toyyyy=1890|||l-word=*ignore*%7C*ignore*#pstart8313069	THE INFLUENZA  (By J. J. Stearne) If when you sit down to eat,      Though the viands are all luscious,      Naught your appetite can meet-  You are caught beyond retreat    By the scourge of all the Russias.   If you feel within your bones,  Like a knife blade sharp and thin,    Harder than. good razor hones.    Pains that make you utter groans-  'Tis the trouble from Berlin.   If your years are rather riper,  Yet your head a fullness harries,  Twining biting like a viper- ' Tis "La Grippe." the grievous griper,        That has just arrived from Paris.       If something, though just what you know not,  Makes you wish to stay at home;            To employment forth you go not,  Entertains you every show not-  'Tis the fever known at Rome.       If you feel strangely sick, As if life had with all fun done;    Head aches harder than a brick,  Atmosphere itself seems thick-  'Tis an English rheum from London.       If to read you are not able,  Tires you novelist or poet ;  Lies unopened on your table    "Latest by: Atlantic cable"-      'Tis the torture from Detroit.   If the earth about you whirls    As if ocean wave you tossed on ;  If your writing takes queer quirls,    If your eye discharges pearls-    'Tis the local plague of Boston.   If no words your woes describe,  But you long to fret and scold;  With your troubles held ,the tribe  That indulges in a gibe-.      Worry not ! you have a cold.  -Boston Journal 	English	Scourge; Atmosphere; 	
267	Evening News	Sydney, Austrailia; Kingston, Austrailia		Sydney, New South Wales, Australia		1890-03-29T00:00:00Z	http://trove.nla.gov.au/ndp/del/article/108797809?searchTerm=influenza&searchLimits=exactPhrase|||anyWords|||notWords|||l-textSearchScope=*ignore*%7C*ignore*|||fromdd=01|||frommm=02|||fromyyyy=1890|||todd=30|||tomm=03|||toyyyy=1890|||l-word=*ignore*%7C*ignore*|||sortby	Influenza. The following is a copy of a minute made by the Postmaster-General on Friday, on which immediate action has been taken in the Department: 'The influenza appears to be spreading as an epidemic in the adjoining colonies, and is therefore not unlikely to affect also the inhabitants of Sydney. I therefore deem it needful to urge your attention to the necessity for using the most vigorous precautions to, at all events, mitigate the force of the disease if it visits us. Cleanliness, of course, is of paramount importance in all conditions of disease, and I would desire you to cause measures to be taken to ensure the greatest care in regard to cleanliness of the postal premises, &c., and I shall have no hesitation in sanctioning any reasonable expense for extra labor, &c., you may incur in effecting this. "Daniel O'Connor. "March 28, 1890."   Adelaide, Friday. — News has just been received from Kingston that "La Grippe," or Russian influenza, has broken out at Kingston, a seaport town in the south-east. The Government medical officer in charge of the port telegraphs that a number of mild cases have occurred.  	English	Epidemic; precautions; cleanliness; mild	
